title,description,authors,categories
The Religious System of China: book I. Disposal of the dead,,['Jan Jakob Maria Groot'],['Ancestor worship']
Appleton's Magazine,,[],[]
Educational Method,,[],['Education']
The World Book Encyclopedia,,[],['Encyclopedias and dictionaries']
The Varieties of Religious Experience,,['William James'],['Conversion']
New Serial Titles,"A union list of serials commencing publication after Dec. 31, 1949.",[],['Periodicals']
The Dublin University Magazine,,[],[]
In Conflict and Order,,['D. Stanley Eitzen'],['Psychology']
The Popular Phrenologist,,[],[]
New-Church Messenger,,[],[]
South Asian Studies,,[],['South Asia']
How Religion Evolved,"""For as long as history has been with us, religion has been a feature of human life. There is no known culture for which we have an ethnographic or an archaeological record that does not have some form of religion. Even in the secular societies that have become more common in the past few centuries, there are people who consider themselves religious and aspire to practise the rituals of their religion. These religions vary in form, style and size from small cults numbering a few hundred people centred around a charismatic leader to worldwide organizations numbering tens, or even hundreds, of millions of adherents with representations in every country. Some, like Buddhism, take an individualistic stance (your salvation is entirely in your own hands), some like the older Abrahamic religions view salvation as more of a collective activity through the performance of appropriate rituals, and a few (Judaism is one) have no formal concept of an afterlife. Some like Christianity and Islam believe in a single all- powerful God,",['Robin Ian MacDonald Dunbar'],['Religion']
A Short History of Chinese Philosophy,,['Yu-lan Fêng'],[]
"Report on the Census of the Non-native Population of Uganda Protectorate Taken on the Night of the 25th February, 1948",,['East Africa High Commission. East African Statistical Department'],['Uganda']
Yearbook of the United Nations,,['United Nations'],['International agencies']
Memoirs of the Verney Family ... by Frances Parthenope Verney [ab Bd. 3] Margaret M. Verney,,['Frances Parthenope Verney'],[]
"Talks with men, women and children",,['David Davies'],[]
"University extension. Session 1904/5, no.1-session 1906/7, no.1",,[],[]
Dictionary Catalogue of the Illinois State Library,,['Illinois State Library'],"['Catalogs, Dictionary']"
Naval War College Review,,[],['International relations']
The Chinese Recorder,,[],['Christianity']
Encyclopaedia Britannica,,[],[]
The Old Religion demonstrated in its principles and described in the life and practice thereof. By J. G.,,['John GOODMAN (D.D.)'],[]
The Review of Metaphysics,,[],['Metaphysics']
Islam and the Modern Age,,[],['Islam']
The Sikh Review,,[],['Sikhism']
International Journal of Ethics,,[],['Ethics']
"The Saturday Review of Politics, Literature, Science and Art",,[],[]
Herald of Gospel Liberty,,['Elias Smith'],['Theology']
The General Catalogue Issue,,['University of North Carolina (1793-1962)'],['College catalogs']
The Flaming Sword,,[],['Estero (Fla.)']
"The Ante-Nicene Fathers: Lactantius, [etc.], Apostolic teaching and constitutions, Homily, and Liturgies",,"['Alexander Roberts', 'Sir James Donaldson', 'Arthur Cleveland Coxe', 'Allan Menzies']",['Fathers of the church']
The Ideology of Religious Studies,"In recent years there has been an intensifying debate within the religious studies community about the validity of religion as an analytical category. In this book Fitzgerald sides with those who argue that the concept of religion itself should be abandoned. On the basis of his own research in India and Japan, and through a detailed analysis of the use of religion in a wide range of scholarly texts, the author maintains that the comparative study of religion is really a form of liberal ecumenical theology. By pretending to be a science, religion significantly distorts socio-cultural analysis. He suggest, however, that religious studies can be re-represented in a way which opens up new and productive theoretical connections with anthropology and cultural and literary studies.",['Timothy Fitzgerald'],['Religion']
"Directory of American Philosophers, 2018-2019","The new edition of this essential resource contains thousands of edited listings for university and college philosophy programs, research centers, professional organizations, academic journals, and philosophy publishers in both countries. It also includes contact information for over 15,000 philosophers in the U.S. and Canada, and a brief statistical overview of the field.",['Elizabeth Stombock'],['Philosophy']
Old gems in a new setting,,['John A. Bowman'],"['Theology, Doctrinal']"
Saturday Review,,[],[]
The Expository Times,,"['James Hastings', 'Ann Wilson Hastings', 'Edward Hastings']",['Bible']
Bibliographie der fremdsprachigen Zeitschriftenliteratur,,[],['German periodicals']
"Census of India, 1971",,['India. Office of the Registrar'],['Bihar (India)']
Works,,['Theodore Parker'],['Unitarianism']
A Christian's Appreciation of Their Faiths,,['Gilbert Reid'],['Religions']
The Psychology of Christian Life and Behaviour,,['William Straton Bruce'],"['Psychology, Religious']"
Minutes of Evidence,,['Cape of Good Hope (South Africa). Education Commission'],['Education']
The Supervision of Student-teachers in Religious Education,,['Faye Huntington Klyver'],['Religious education']
Africa Since 1935,,"['Ali AlʼAmin Mazrui', 'Christophe Wondji']",['Africa']
"Holy-days and holidays, a treasury of historical material, sermons, poetry [&c.] relating to holy days and holidays, compiled by E.M. Deems",,['Holy days'],[]
The Plebs,,[],['Labor']
Michigan Law Review,,[],['Law']
Helping Hand,,[],[]
"Subject Catalog, 1979",,['Library of Congress'],['Library catalogs']
The Chicago Jewish Forum,,[],['Jews']
Jewish Newsletter,,[],['Jews']
University of Colorado Bulletin,,[],['Boulder (Colo.)']
"The Natural Truth of Christianity: Selections from the ""Select Discourses"" of John Smith, M.A.",,['John Smith'],['Christianity']
The Southern Historian,,[],['History']
The Collected Works of Mahatma Gandhi,,['Mahatma Gandhi'],['India']
Daily Report,,[],['Soviet Union']
Proceedings of the Indiana Academy of Science,,['Indiana Academy of Science'],['Science']
Rays from the Rose Cross,,[],['Rosicrucians']
Classified Catalogue,,['Carnegie Library of Pittsburgh'],[]
The Methodist Quarterly Review,,[],['Church and the world']
American Journal of Theology,"Vols. 2-6 include ""Theological and Semitic literature for 1898-1901, a bibliographical supplement to the American journal of theology and the American journal of Semitic languages and literatures. By W. Muss-Arnolt."" (Separately paged)",[],['Theology']
Semantika,,[],['Semantics']
The Power of Faith,,['Louis Binstock'],['Judaism']
Atlantic Monthly,,[],['Art criticism']
Brownson's Quarterly Review,,[],[]
Bulletin of Human Rights,,[],['Civil rights']
The Outlook,,"['Lyman Abbott', 'Hamilton Wright Mabie', 'Ernest Hamlin Abbott', 'Francis Rufus Bellamy']",['United States']
New Faith for Old,,['Shailer Mathews'],['Protestant churches']
The Balance Concept in Nursing,,['Daisy Magalit Rodriguez'],['Nursing']
Acts and Resolutions of the General Assembly of the State of Georgia,,['Georgia'],['Georgia']
The Current Jewish Record,,[],['Judaism']
"The Ramakrishna Math & Mission Convention, 1926",,['B. Sen'],[]
Esquire,,[],[]
The Kalyana-Kalpataru,,[],[]
An Analysis of Federal Legislation and Selected Court Cases Relating to Financing Nonpublic Education in the United States,,['Robert August Koenig'],[]
Civic Life of India,,['M. B. L. Bhargava'],['India']
An Examination of the American Economic System,,['Advertising Council'],[]
The True Religion of God,"Each person is born in a circumstance which is not of his own choosing. The religion of his family or the ideology of the state is thrust upon him from the very beginning of his existence in this world. By the time he reaches his teens, he is usually fully brain-washed into believing that the beliefs of his particular society are the correct beliefs that everyone should have. However, when some people mature and are exposed to other belief-systems, they begin to question the validity of their own beliefs. The seekers of truth often reach a point of confusion upon realizing that each and every religion, sect, ideology and philosophy claims to be the one and only correct way for man. Indeed, they all encourage people to do good. So, which one is right?",[],[]
Studies in the English Social and Political Thinkers of the Nineteenth Century,,['Robert Henry Murray'],['Great Britain']
Foundations of Jewish Belief,,['Martin Schwartz'],['Bible']
Let's Talk it Over,,['Jerome P. Holland'],[]
Journal of the Micronesian Constitutional Convention of 1975,,['Pacific Islands (Trust Territory). Micronesian Constitutional Convention'],['Constitutional law']
"Science and Religion, 1450–1900","Galileo. Newton. Darwin. These giants are remembered for their great contributions to science. Often forgotten, however, is the profound influence that Christianity had on their lives and work. This study explores the many ways in which religion—its ideas, attitudes, practices, and institutions—interacted with science from the beginnings of the Scientific Revolution to the end of the nineteenth century. Both scientists and persons of faith sometimes characterize the relationship between science and religion as confrontational. Historian Richard G. Olson finds instead that the interactions between science and religion in Western Christendom have been complex, often mutually supportive, even transformative. This book explores those interactions by focusing on a sequence of major religious and intellectual movements—from Christian Humanist efforts to turn science from a primarily contemplative exercise to an activity aimed at improving the quality of human life, to the widely varied Christian responses to Darwinian ideas in both Europe and North America during the second half of the nineteenth century.","['Richard G. Olson', 'Richard Olson']",['Philosophy']
Encyclopaedia of Religion and Religions,"First published in 1951 Encyclopaedia of Religion and Religions is an essential historical resource for scholars and researchers of religion. It is written by one who is a trained encyclopaedist, with an encyclopaedist's understanding approach to facts that are of immense and perennial importance and interest.",['E. ROYSTON. PIKE'],[]
Korea Journal,,[],['Korea']
Official Florida Statutes,,['Florida'],['Law']
Shakespeare's Plain People,,['Alice Caroline Witherspoon'],[]
The Mysticism of Johann Joseph Von Görres as a Reaction Against Rationalism,,['Sister Mary Gonzaga'],['Mysticism']
The Social Welfare Forum,,['National Conference of Social Work (U.S.). Annual Forum'],['Charities']
"The Prophetic Books of the Old Testament, Their Origin, Contents, and Significance",,['Frederick Carl Eiselen'],['Bible']
An Introduction to Social Anthropology,,['Clark Wissler'],[]
Oceania,"Includes the sections ""Reviews"" and ""Bibliographical notes.""","['Alfred Reginald Radcliffe-Brown', 'Raymond Firth', 'Adolphus Peter Elkin']",['Electronic journals']
A Short History of Freethought,,['John Mackinnon Robertson'],['Free thought']
Is it God's Word?,,['Joseph Wheless'],['Bible']
The Year's Work in Classical Studies,,['Classical Association (Great Britain). Council'],['Classical antiquities']
Catalog of Copyright Entries. Third Series,,['Library of Congress. Copyright Office'],['Copyright']
The Delineator,,[],['Dressmaking']
After God,"Considers the fate of religion ; the evolution of religious belief from the dawn of the gods to their twilight--and tomorrow. Challenges us to see religion les as an ideology and more as a tool kit, a set of techniques--perhaps an art form--enhancing our lives the way that literature and art do.",['Don Cupitt'],['Philosophy']
English Mechanic and Mirror of Science and Art,,[],['Technology']
Annual Catalogue of the Officers and Students,,['Colgate Rochester Divinity School'],[]
The Elementary Forms of the Religious Life,,['Émile Durkheim'],['Cults']
Bulletin,Nov. issue includes Proceedings of the annual meeting.,['Catholic Educational Association'],['Education']
The Greater Men and Women of the Bible,,['James Hastings'],['Bible']
Jesus and the Other Names,"Argues for a reconstruction of christology and mission for the modern pluralistic world. ""Most impressive"" Theology",['Paul F. Knitter'],['Religion']
The Encyclopædia Britannica: Demijohn-Edward,,[],['Encyclopedias and dictionaries']
The Missionary Review of the World,,[],['Missions']
Circular of Information ...,,"['Northwestern University (Evanston, Ill.). College of Liberal Arts']",['Universities and colleges']
The Athenaeum,,[],['Arts']
Motivational Books,"Hear What the Critics are Saying ""Very heart-warming stories; not only was this book inspirational, but it was also incredibly helpful. I would highly recommend it to anyone who is lost and needs to find themselves. Amazing Book."" -Mary Jones -Valley Daily News ""I enjoyed this motivational book quite a bit. My favorite story was the one about the Peanut Butter And Jelly sandwiches. Five Stars."" -Judy B. Cohen –Elite Media Group ""This was a very up-lifting and inspirational book. It both motivated and taught me to think outside of the box. A Must Read."" -Dave Baker -Book Bloggers of America ""I was really moved by some of the stories; what I like about this book is that some of the stories where motivational and others were just about teaching a specific lesson. Ten Thumbs Up."" -Debra Eisner -Literary Times Inc. ""Very inspiring book with great stories; I Highly Recommend this one to anybody who likes to read, and whose soul needs a bit of healing."" -Emma Righter -Writers United Group ""I liked a lot of the stories; my favorite was the one about the Gumballs; since I'm in sales, it made a lot of sense to me. This is definitely one book you will not regret buying. Great Book!"" -Carl Mosner –Readers Cove Unlimited ""This was a great book. I really enjoyed the stories, and the lessons were very helpful. It's a Wonderful Book that really makes you think."" -Lee Ratner –Daily Media Trends, Inc. Editorial Review Who Ate My Grapes? Is a book that will make you laugh and think at the same time. The way the author explains very complex issues in such a simplistic, easy-to-comprehend fashion is commendable. These are the types of stories that feed our soul. Any generation, young or old, will enjoy this book very much; many of its stories are not only inspiring, but also true. If you are looking for a book that will not only inspire you, but will also challenge the way you view the world, then this is the book for you. A Must Read! Jim S. Stein About the Book If you loved the Chicken-Soup for the Soul series, then you'll love Who Ate My Grapes? It's a book full of motivational short stories that will not only inspire and motivate you, but will also give you great practical advice on everyday situations. This book is extremely funny in some parts; and yet, very deep and thought provoking in others. It will elicit numerous emotions from its readers and shed more light on solutions to problems we face on a day to day basis. If you're looking for a book that will not only motivate your soul, but also cultivate your mind, then look no further. Who Ate My Grapes? Will leave you both inspired, and prepared. Author's Favorite Quote ""Life is a comedy to those who think; a tragedy to those who feel."" (motivational books, motivational books free, motivational books for women, motivational books for men) [motivational books]","['Ivan King', 'motivational books']",['Self-Help']
Self Motivation,"Self Motivation is a motivational book in the self help genres. By sharing lessons from life's leading figures and inculcating a sense of self-belief, this book guides you in developing your self-confidence and ultimately achieving success.The book is divided into five parts. Part I contains an introduction. It deals with topics like self esteem, how to emulate winners, building confidence, time management, self control, and motivation. Part II goes over topics like the paths to success, motivating concepts from the bhagvad gita, transcending desires, and attachment and detachment. The third section focusses on personality development, and explains the secrets of success, work and selfless actions, love, faith and learning, and provides success mantras. Part IV coaches the reader on management, and includes topics like success strategies, motivational guidance, anger management, optimism, tolerance and moderation, success and motivation, visualisation, and magnetism and persistence. The fifth and final part of the book contains motivating concepts like the inspiring words of famous men, motivating expressions, words that matter, and motivating examples, like Vitamin M.Self Motivation was written by John Yager, and published by Lotus Press in 2007. It is available in paperback.Self Motivation is a motivational book in the self help genres. By sharing lessons from life's leading figures and inculcating a sense of self-belief, this book guides you in developing your self-confidence and ultimately achieving success.The book is divided into five parts. Part I contains an introduction. It deals with topics like self esteem, how to emulate winners, building confidence, time management, self control, and motivation. Part II goes over topics like the paths to success, motivating concepts from the bhagvad gita, transcending desires, and attachment and detachment. The third section focusses on personality development, and explains the secrets of success, work and selfless actions, love, faith and learning, and provides success mantras. Part IV coaches the reader on management, and includes topics like success strategies, motivational guidance, anger management, optimism, tolerance and moderation, success and motivation, visualisation, and magnetism and persistence. The fifth and final part of the book contains motivating concepts like the inspiring words of famous men, motivating expressions, words that matter, and motivating examples, like Vitamin M.Self Motivation was written by John Yager, and published by Lotus Press in 2007. It is available in paperback.Read more",['John Yager'],['Self-Help']
Inspirational Books,"Hear What the Critics are Saying Wow, very inspirational and powerful; everyone must read this book. Hell: A Place Without Hope, is by far one of the best Christian books to have come out in the last decade. A Must Read.” -Mary Jones – Valley Daily News “I give this book Five Stars All The Way! This book makes my list as one of the top reads in the Christian genre. Anyone of Faith will enjoy this book very much.” -Theresa Davis – Elite Media Group “Hell: A Place Without Hope a very powerful and thought provoking book. Every generation, young and old, should have to read this book. Ten Thumbs Up.” -Dave Baker – Book Bloggers of America “This was an excellent book; it was short, I ended up reading it in less than two hours; however, it has a very strong and positive message. Amazing Book!” -Lisa Cooper – Literary Times Inc. “This was a very powerful book; very solid message about the dangers of not giving your life to Christ. Highly Recommend.” -Emma Right – Writers United Group “I fell to my knees at the end and cried. This book reminded me why I became a born-again Christian. Powerful Message.” -Carl Mosner – Readers Cove Unlimited Editorial Review Hell: A Place Without Hope is a very spiritual and powerful book. Its messages are time tested and true. This book really made me think; but more importantly, it made me feel. If you are looking for a book that will move you to tears, then look no further than Hell: A Place Without Hope; a masterful book that will not only inspire you to become a better person, but will also teach you some of life’s greatest lessons. Inspirational Book! David T. Williams About the Book A young man spends a day in hell and comes back to tell us the story. Hell: A Place Without Hope, is a powerful book that sends a strong message. Every generation of young people should have to read this wonderful Christian book. This book is based on Real Life Experience, which I derived from a vision I had in the year 2005. 1. (inspirational books, inspirational books free, inspirational books young adults, inspirational books free download, inspirational) [inspirational books]","['Ivan King', 'inspirational books']",['Young Adult Nonfiction']
Self Help Books,"Hear What the Critics are Saying ""Very heart-warming stories; not only was this book inspirational, but it was also incredibly helpful. I would highly recommend it to anyone who is lost and needs to find themselves. Amazing Book."" -Mary Jones -Valley Daily News ""I enjoyed this motivational book quite a bit. My favorite story was the one about the Peanut Butter And Jelly sandwiches. Five Stars."" -Judy B. Cohen –Elite Media Group ""This was a very up-lifting and inspirational book. It both motivated and taught me to think outside of the box. A Must Read."" -Dave Baker -Book Bloggers of America ""I was really moved by some of the stories; what I like about this book is that some of the stories where motivational and others were just about teaching a specific lesson. Ten Thumbs Up."" -Debra Eisner -Literary Times Inc. ""Very inspiring book with great stories; I Highly Recommend this one to anybody who likes to read, and whose soul needs a bit of healing."" -Emma Righter -Writers United Group ""I liked a lot of the stories; my favorite was the one about the Gumballs; since I'm in sales, it made a lot of sense to me. This is definitely one book you will not regret buying. Great Book!"" -Carl Mosner –Readers Cove Unlimited ""This was a great book. I really enjoyed the stories, and the lessons were very helpful. It's a Wonderful Book that really makes you think."" -Lee Ratner –Daily Media Trends, Inc. Editorial Review Who Ate My Grapes? Is a book that will make you laugh and think at the same time. The way the author explains very complex issues in such a simplistic, easy-to-comprehend fashion is commendable. These are the types of stories that feed our soul. Any generation, young or old, will enjoy this book very much; many of its stories are not only inspiring, but also true. If you are looking for a book that will not only inspire you, but will also challenge the way you view the world, then this is the book for you. A Must Read! Jim S. Stein About the Book If you loved the Chicken-Soup for the Soul series, then you'll love Who Ate My Grapes? It's a book full of motivational short stories that will not only inspire and motivate you, but will also give you great practical advice on everyday situations. This book is extremely funny in some parts; and yet, very deep and thought provoking in others. It will elicit numerous emotions from its readers and shed more light on solutions to problems we face on a day to day basis. If you're looking for a book that will not only motivate your soul, but also cultivate your mind, then look no further. Who Ate My Grapes? Will leave you both inspired, and prepared. Author's Favorite Quote ""Life is a comedy to those who think; a tragedy to those who feel."" Who Ate My Grapes? (self help books, self help, self help books free, self help free, self help audio books free, self help books for women, self help books for men) [self help books]","['Ivan King', 'self help books']",['Self-Help']
Personal Life Motivation Skills Manifesto,"""MANY CAN NOW HAVE THE SKILLS TO SELF-MOTIVATE THEMSELVES AT WILL-- WHO NEVER THOUGHT THEY COULD!"" Perhaps you're browsing through these books because you recognize you have a problem how to be more motivated? You hate it, but you feel you have to do it! A project perhaps? Desperate how to stay motivated to lose weight? How to motivate yourself to study? How to motivate your kids or others you care about? Whatever it may be, the problem is the same. Weak motivation or even NO MOTIVATION at all! My goal for you today is teach you about the nature self - motivation, what it is, what's killing it, and how to program a motivated brain--at will! That's right, learn what motivates people, how you can energize your excitement, passion, inspiration and inner drive to do the task at hand! Cool superpower aint it? If you can have this power? You can virtually push a button, and become excited to do what you need to do. You will actually feel the DESIRE to want to do it! How powerful is that? Imagine all the work you can do! You won't need to struggle through it ever again! Your mind says DO IT, and you can actually make yourself WANT TO DO IT! Master the craft of motivation and start enjoying the benefits today! Grab your copy today!",['Samantha Claire'],['Self-Help']
Disha Ultimate Guide for SBI Clerk Junior Associates Prelim & Main Exams with PYQs 11th Edition | 4000+ MCQs | Fully Solved | General Banking,"The updated and revised 11th Edition of the book Ultimate Guide for SBI Clerk Prelim & Main Exams is now a more powerful preparatory material with the addition of PYQs. The book covers: # This new edition incorporates new chapters/ variety of questions as per latest SBI Clerk exams. # The Book contains specific sections for Reasoning Ability, General English, Quantitative Aptitude, and General Awareness (with special reference to Current Updates, Banking Industry & Computer Knowledge). # The book containst otal 47 chapters with to the point theory of all the sections (divided into chapters) with illustrations followed by an exercise with detailed solutions. # A total of 4250+ MCQs with 100% explanations to Quant, Reasoning & English sections. Study material for Banking/ Economics Financial Awareness with Past years’ Questions & Practice Questions is covered in the book. # The book covers 2015 onwards Prelim and Main Exam Solved Papers divided chapter-wise. # High level questions on latest exam pattern on Problem solving, Input-Output, Drawing Inference, Coding-Decoding, Critical Reasoning, Data Analysis and Data Interpretation.",[],['Antiques & Collectibles']
The Art of Thinking: How the Great Philosophers Can Stimulate Our Ability to Think Critically,Celebrated Spanish philosopher Jose Carlos Ruis brings the wisdom of great philosophers to life in this entertaining guide to sharpening our minds.,['José Carlos Ruiz'],['Philosophy']
A Massive Dose of Motivation,,[],['Goal (Psychology)']
Everything Coaching and Mentoring Book,"Describes how managers can develop coaching and mentoring skills, offering tips on ways to motivate employees, develop visions and goals, tackle conflicts, interview prospective employees, and deal with personal lives of employees.",['Nicholas Nigro'],[]
Motivation in 7 Simple Steps,"Stop Procrastinating and Start Achieving Discover the 7 Powerful Steps to Become Unstoppable... Do you ever feel like your life is happening so fast that you slowly forget about your dreams, goals, and ambitions? Do you sometimes feel like you could do more and be happier if you were ""more motivated""? If so, then this book will be the inspirational gate that leads you to an amazing new way of successful living. You are just about to explore the best motivational techniques that will help you get excited, stay motivated, move forward and keep on track so that you can achieve personal success the way you want. But, more importantly, the motivational tools from this book will help you become more focused, confident and responsible for your life. They will help you unleash unlimited motivation and create an ultimate vision for your life. You will finally embrace the joy and fulfillment that the process of reaching your goals and living your life by design offers you. The motivational techniques that you are just about to dive into are universal- they can help you reach all kinds of goals (health, fitness, finances, work, lifestyle---you name it!). Here's exactly what you will discover: Why most motivational resources fail Why motivation is useless unless it translates to taking action (and how to take action) How to be in charge of your motivation and grow your ""motivation muscle"" almost on demand Quickly learn my proven tips to take action even if you don't feel motivated How to get rid of excuses once and for all How to make consistent progress in all areas of your life (health, social, relationships, fitness, finances, business, career etc.) How to control your emotions to be able to motivate yourself on demand How to re-define your goals to get and stay excited What to do to overcome adversity and challenges; How to deal with criticism and haters; The Law of Attraction vs the Law of Action- how to create a balance that works for you What to do when you lose motivation and passion How to create simple success rituals you enjoy to get and stay motivated Read, Live and Enjoy the ""Motivation in 7 Simple Steps"" today and become unstoppable as you have always wanted!",['Marta Tuchowska'],"['Body, Mind & Spirit']"
The 1% Principle,"How small steps - literally a 1% change in what you are doing today - can dramatically improve your life and potential. Almost everyone will experience a sense of 'being in a rut' at some stage in their life. Whether you are stuck in a job you hate or are getting passed over for promotion, whether your relationship has lost its magic or you are struggling with your weight and fitness - these situations over time will sap your motivation and well being. there are many books and programmes which offer ways to immediately turn your life around. the reality for most of us though, is that these approaches simply don't work over the long term. Smaller steps over a long period of time will have a greater, more beneficial and successful effect on your life than bigger steps in a shorter period of time. But how do we identify which changes can have the maximum impact? this book shows you through highly practical exercises, tips and real life examples how you can 'tweak your way to success'.","[""Tom O'Neil""]",['Self-Help']
The Numero Uno Salesman,"'Packed with powerful examples and true incidents, this book will definitely become popular as an inspiring read for the aspiring salesmen in our country.'--Deepak Mehrotra, Director, Joy of Growing, Learning and Development Pvt. Ltd A successful salesman is alive to the needs of the customer, however difficult and demanding he may be. But do you know how to make him feel like a VIP from the moment he enters the showroom? How do you create in the customer the desire to purchase the product on sale? And how do you ensure repeat customers?The Numero Uno Salesman explains the principles of sales with the help of anecdotes from the field. If you are in sales, or if you want to be a salesman, this book is for you.",['Karan Sondhi'],['Self-Help']
British Books,,[],['Bibliography']
Lippincott's Monthly Magazine,,[],[]
Self-help,,['Samuel Smiles'],[]
The Virtues of Vengeance,"""In the course of his study of vengeance as a moral concept, French exposes important distinctions between types of moral theories (karmic and non-karmic) and between people who are morally handicapped and those who are morally challenged. He examines concepts relevant to vengeance, such as honor, moral authority, and evil, and issues such as the rationality of revenge and proportionality in punishment.""--BOOK JACKET.",['Peter A. French'],['Philosophy']
365 Days of Extreme Motivation,365 DAYS OF EXTREME MOTIVATION Powerful motivational book that will change your life to SUCCESS AND ABUNDANCE! To live a fruitful life is to live it with meaning. Finding that meaning can be a lifelong journey and along the way you may need words of wisdom to guide you along the right path. Words that allow you to overcome the struggles that come with what life has to offer. IN THIS BOOK YOU WILL FIND THE KEYS TO MOTIVATE YOUR LIFE AND ACHIEVE SUCCESS AND ABUNDANCE!,['Mentes Libres'],[]
Self-help Mechanical Drawing,,['Nehemiah Hawkins'],['Mechanical drawing']
The American Journal of Nursing,,[],['Nursing']
"Self-help; with Illustrations of Character, Conduct, and Perseverance",,['Samuel Smiles'],['Character']
Quarterly Bulletin of the Michigan State Library,,[],['Classified catalogs (Dewey decimal)']
Michigan Library Bulletin,,['Michigan State Library'],['Libraries']
Western Teacher,,[],[]
Dr. Richard Furman's Save Your Life Cholesterol Plan,,['Richard Furman'],['Cooking']
Trade-marks Journal,,[],['Trademarks']
Fake it Til You Make it,,['Phil Kerns'],['Business ethics']
Instant Team Building,"Say good-bye to clock watchers and hello to your dream team! Self-made multimillionaire and entrepreneurial expert Brad Sugars explains all the elements that contribute to a great team, and walks you through the process of finding and assembling a team of motivated, compatible employees who will help you take your business to new heights of productivity, profitability, and fun. Learn how to: Master the six keys to a winning team Conduct interviews that tell you what you really need to know Create an environment that encourages passion, collaboration, and personal initiative Promote communication and idea development between team members Get real results right now when you discover all that Instant Success has to offer! Instant Advertising * Instant Cashflow * Instant Leads * Instant Profit * Instant Promotions * Instant Referrals * Instant Repeat Business * Instant Sales * Instant Systems * The Business Coach * The Real Estate Coach * Successful Franchising * Billionaire in Training","['Bradley J. Sugars', 'Brad Sugars']",['Business & Economics']
"Herodotus the Fourth, Fifth and Sixth Books with Introduction, Notes, Appendices, Indices, Maps by Reginald Walter Macan",,['Herodotus'],[]
The Canada School Journal,,[],['Education']
The Etude. E,Includes music.,[],['Music']
The English Illustrated Magazine,,[],[]
Motivational Books,"Discover the Most Effective Psychological Tricks to Get and Stay Motivated! Take advantage of this special edition 2 in 1 bundle- included are James Adler’s bestselling motivational books… This bundle is for you if: -you want to achieve success in all areas of life, but somehow you keep sabotaging yourself -you are sick and tired of motivational theory that does not change your life -you want to know how to create a strong “motivational” muscle that will help you get remarkable results - you fall off track when you have a bad day and you want to know the most helpful remedy… Inside you will learn how to finally re-program your mind for success and create the new, stronger version of yourself. Even if you have a bad day (even the most famous motivational gurus do!) Included are: Book 1 Motivation: Boost Your Motivation with Powerful Mindfulness Techniques and Be Unstoppable Book 2 Success Secrets: Change Your Life With Neuro-Linguistic Programming! + you will also receive many practical tips to help you transition to a successful empowered lifestyle and leave destructive habits and patterns behind…. If you've ever struggled to stay motivated to change your life and are looking for real world solutions that have been proven to work in the trenches of life, this 2 in 1 bundle will help you transform your mindset to embark on a fascinating journey of personal and professional transformation… Scroll up to the top of the page and get your copy now!",['James Adler'],['Self-Help']
Early Years,,[],['Education']
The Writer's Market,"Here you will find thousands of completely updated listings (plus 1,100+ brand new publishing opportunities) for book publishers, consumer magazines, script buyers, trade & professional journals, plus more than 300 agents! No other reference provides such complete AND current information.",['Kirsten Campbell Holm'],['Authorship']
"The English Illustrated Magazine: ""The Gift of the Sea""",,[],['England']
The English illustrated magazine [ed. by J. W. C. Carr].,,['Joseph Comyns Carr'],[]
The Writer's Market,,[],['Authorship']
The Power of Personal Branding,"""Why is personal branding so important today? At one time, superior skills, great resources and inside knowledge gave you a competitive advantage; now they are merely prerequisites if you even hope to compete in today's marketplace. Our personal brand--the word or phrase we want others to think of when they think of us--is all that is left to differentiate us from the pack. Because your personal brand is uniquely about you, it will never become a commodity. Statistics overwhelmingly show people buy personalities and ideas long before they buy products or services. The challenge for most professionals is that they lack the discipline necessary to define their personal brands. As a result, their peers select it for them. Unfortunately, the personal brand others select for you will not always be the personal brand you would have selected for yourself. This is where The Personal Branding Group comes in.""--Descripción del editor.","[""Tim O'Brien""]",['Business & Economics']
The Baby Boomer's Guide to Prosperity,,['Jeannine Fox'],['Baby boom generation']
"Self-help by the People. The History of Co-operation in Rochdale. (The Society of Equitable Pioneers.) Part 1., 1844-1857",,['George Jacob Holyoake'],['Cooperation']
Architects of Fate,,['Orison Swett Marden'],['Success']
Getting the Best Out of Yourself and Others,,"['Francis G. Rodgers', 'Irv Levey']",['Business & Economics']
Ultra-Fit,,"['Joe Davis', 'Lucille Enix']",['Family & Relationships']
The Michigan Bar Journal,,[],['Bar associations']
Black Enterprise,,[],['African American businesspeople']
Positive Discipline for Single Parents,"With the high rate of divorce, children are more likely than ever before to be raised by a single parent. Now, from the author of Positive Discipline, here is the definitive book for single parents to raising responsible, resp ectful children.","['Jane Nelsen', 'Cheryl Erwin', 'Carol Delzer']",['Family & Relationships']
St. Louis Bar Journal,,[],['Bar associations']
Fifty Day Spiritual Adventure,,"['David R. Mains', 'Karen B. Mains', 'Steve Bell']",['Religion']
